,Season,Player,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
9,1998,Cindy Blodgett,10.1,0.411,0.364,0.561,0.364,1.6,5.1,17.5,2.7,0.0,13.6,23.2,85.0,96.0,-0.1,0.2,0.1,0.026
10,1998,Octavia Blue,5.8,0.417,0.377,0.273,0.312,6.9,8.8,5.2,2.1,0.7,23.6,15.5,77.0,98.0,-0.4,0.3,-0.2,-0.019
11,1998,Ruthie Bolton,10.7,0.391,0.328,0.448,0.483,4.7,5.3,9.4,2.5,0.0,9.1,27.2,86.0,100.0,0.0,0.1,0.0,0.006
12,1998,Karen Booker,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,23.9,0.0,42.0,0.0,0.0,0.0,-0.132
13,1998,Kelly Boucher,4.6,0.298,0.233,0.4,0.267,4.8,15.4,6.3,1.0,0.0,15.2,17.6,67.0,92.0,-0.1,0.1,-0.1,-0.043
14,1998,Carla Boyd,11.4,0.417,0.379,0.242,0.292,7.4,8.6,15.6,1.8,1.0,15.1,19.2,91.0,95.0,0.4,0.9,1.4,0.067
15,1998,Albena Branzova,5.1,0.43,0.4,0.16,0.16,8.2,11.2,10.0,1.8,0.9,31.0,19.5,71.0,93.0,-0.2,0.1,-0.1,-0.042
16,1998,Gergana Branzova,8.3,0.467,0.446,0.062,0.308,7.6,12.2,6.9,0.8,1.6,22.2,21.1,83.0,94.0,-0.2,0.3,0.1,0.022
17,1998,Janice Braxton,18.5,0.561,0.5,0.028,0.468,6.5,13.5,16.5,3.3,1.5,20.3,18.9,102.0,90.0,1.9,1.7,3.6,0.171
18,1998,Razija Brcaninovic,16.4,0.558,0.52,0.0,0.441,9.2,13.1,8.5,0.7,3.0,20.8,20.1,99.0,94.0,1.3,1.0,2.3,0.134
19,1998,Michelle Brogan,18.5,0.605,0.535,0.125,0.533,7.2,11.0,10.0,3.1,0.5,18.6,16.4,111.0,90.0,2.5,1.6,4.0,0.206
20,1998,Sandy Brondello,18.3,0.516,0.45,0.12,0.283,2.1,5.2,20.4,2.1,0.1,13.4,21.8,106.0,96.0,3.2,1.0,4.2,0.17
21,1998,Cindy Brown,20.7,0.555,0.507,0.228,0.433,8.6,18.5,10.7,2.9,1.8,17.4,18.1,106.0,86.0,2.7,2.6,5.2,0.217
22,1998,La'Shawn Brown,5.2,0.417,0.351,0.0,0.892,7.3,12.0,5.4,1.9,5.7,31.8,12.3,70.0,101.0,-0.5,0.1,-0.4,-0.063
23,1998,Rushia Brown,16.3,0.55,0.46,0.007,0.612,9.6,12.0,9.9,3.5,2.6,21.7,20.8,98.0,91.0,0.9,1.0,1.9,0.147
24,1998,Vicky Bullett,20.6,0.493,0.447,0.071,0.234,8.1,12.6,9.8,3.8,3.9,13.7,23.0,98.0,87.0,1.8,2.3,4.2,0.175
25,1998,Heidi Burge,12.0,0.54,0.516,0.044,0.39,7.2,12.3,11.9,1.7,2.3,28.2,23.0,84.0,103.0,-0.3,-0.1,-0.4,-0.031
26,1998,Linda Burgess,15.4,0.526,0.479,0.042,0.312,9.5,13.4,8.4,3.4,1.4,22.1,18.7,93.0,93.0,0.6,1.1,1.6,0.095
27,1998,Latasha Byears,20.1,0.485,0.458,0.045,0.23,12.7,15.1,9.0,2.9,1.4,13.9,28.9,95.0,94.0,1.4,1.1,2.5,0.121
28,1998,Deborah Carter,4.6,0.357,0.313,0.34,0.181,5.3,9.2,10.4,1.9,0.7,20.5,20.0,71.0,105.0,-1.1,-0.2,-1.3,-0.121
29,1998,Elisabeth Cebrian,3.7,0.462,0.429,0.0,0.4,8.3,9.5,7.8,0.3,3.3,32.7,15.4,74.0,96.0,-0.3,0.2,-0.1,-0.027
30,1998,Keri Chaconas,6.9,0.443,0.399,0.709,0.223,2.0,3.7,19.7,1.7,0.0,23.2,23.7,81.0,108.0,-0.5,-0.4,-0.9,-0.089
31,1998,Sonia Chase,8.1,0.555,0.5,0.0,0.214,3.7,5.2,13.5,1.6,0.0,29.8,12.2,91.0,98.0,0.1,0.1,0.2,0.046
32,1998,Katrina Colleton,6.6,0.374,0.328,0.192,0.182,5.2,5.3,13.4,1.7,1.5,21.3,10.6,84.0,100.0,-0.2,0.2,0.0,0.001
33,1998,Andrea Congreaves,15.4,0.576,0.525,0.63,0.259,6.0,11.8,17.0,1.6,1.1,20.3,14.1,108.0,93.0,0.9,0.5,1.5,0.161
34,1998,Cynthia Cooper,31.1,0.604,0.516,0.352,0.541,3.1,6.8,27.0,2.6,0.9,14.4,29.9,119.0,91.0,8.1,1.9,10.0,0.382
35,1998,Tamecka Dixon,18.2,0.536,0.475,0.208,0.399,2.2,4.7,15.6,1.8,0.9,14.6,24.6,104.0,100.0,2.3,0.3,2.6,0.144
36,1998,Nadine Domond,8.5,0.388,0.348,0.485,0.121,8.1,6.2,19.5,4.2,0.9,24.0,23.3,76.0,96.0,-0.2,0.1,-0.1,-0.049
37,1998,Margo Dydek,20.4,0.538,0.483,0.023,0.419,6.0,16.2,13.5,0.9,10.7,23.1,25.4,91.0,94.0,0.6,1.2,1.8,0.087
38,1998,Michelle Edwards,12.8,0.481,0.451,0.209,0.307,1.7,6.6,22.8,2.3,0.2,19.9,20.9,90.0,96.0,0.2,0.5,0.8,0.058
39,1998,Allison Feaster,-0.3,0.336,0.286,0.714,0.143,2.9,2.9,12.4,2.6,0.0,21.2,20.6,69.0,100.0,-0.1,0.0,-0.1,-0.099
40,1998,Isabelle Fijalkowski,20.9,0.611,0.554,0.037,0.397,10.8,16.1,15.0,1.1,2.8,20.5,23.6,106.0,93.0,2.8,1.2,4.0,0.2
41,1998,Kisha Ford,13.2,0.472,0.442,0.08,0.29,6.3,5.2,9.8,3.8,0.4,9.3,17.2,101.0,92.0,0.9,0.8,1.6,0.139
42,1998,Toni Foster,18.5,0.54,0.467,0.0,0.5,5.7,8.9,16.8,3.5,1.9,17.0,18.5,105.0,89.0,0.6,0.5,1.1,0.195
43,1998,Jennifer Gillom,25.7,0.541,0.496,0.166,0.396,8.1,14.7,10.7,2.8,0.8,13.3,31.8,103.0,88.0,3.8,2.3,6.0,0.251
44,1998,Bridgette Gordon,3.1,0.415,0.391,0.125,0.25,5.4,7.5,7.0,1.8,0.0,29.7,18.7,67.0,100.0,-0.8,0.1,-0.7,-0.11
45,1998,Margo Graham,5.7,0.434,0.421,0.0,0.211,19.0,16.3,4.7,1.1,1.6,27.8,26.1,73.0,106.0,-0.2,0.0,-0.2,-0.146
46,1998,Lady Grooms,12.2,0.548,0.49,0.039,0.61,5.8,6.4,11.8,1.4,0.3,21.0,14.6,99.0,102.0,1.2,0.1,1.2,0.063
47,1998,Wanda Guyton,-10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.1,66.7,10.2,0.0,89.0,-0.1,0.0,-0.1,-0.216
48,1998,Mikiko Hagiwara,7.4,0.493,0.476,0.571,0.143,0.0,2.2,9.9,0.0,0.0,18.3,21.2,87.0,100.0,0.0,0.0,0.0,0.014
49,1998,Angie Hamblin,-3.3,0.338,0.313,0.25,0.25,8.2,14.3,12.0,1.9,0.0,44.1,24.8,49.0,92.0,-0.2,0.0,-0.2,-0.259
50,1998,Kym Hampton,16.1,0.517,0.452,0.005,0.502,9.2,16.0,7.1,2.5,1.8,19.0,20.7,96.0,88.0,1.1,1.7,2.8,0.149
51,1998,Fran Harris,8.8,0.421,0.386,0.203,0.152,4.9,6.6,15.1,2.0,0.2,16.8,13.1,90.0,104.0,0.1,-0.1,0.0,0.002
52,1998,Kristi Harrower,10.3,0.544,0.471,0.615,0.538,0.7,3.8,24.7,2.3,0.7,32.5,12.3,94.0,94.0,0.3,0.5,0.7,0.083
53,1998,Dena Head,10.4,0.543,0.5,0.318,0.388,3.7,6.7,14.0,3.4,0.0,30.7,14.0,87.0,101.0,0.0,0.1,0.1,0.009
54,1998,Korie Hlede,14.8,0.489,0.433,0.214,0.299,5.1,9.2,16.2,1.2,0.1,18.4,23.8,94.0,96.0,1.2,1.0,2.2,0.095
55,1998,Angela Jackson,12.2,0.579,0.5,0.0,1.0,9.7,6.8,0.0,1.4,4.3,0.0,10.7,134.0,107.0,0.1,0.0,0.1,0.131
56,1998,Adrienne Johnson,14.2,0.537,0.517,0.284,0.155,7.6,9.8,9.1,1.2,1.0,16.2,21.6,96.0,98.0,0.5,0.3,0.7,0.091
57,1998,LaTonya Johnson,7.9,0.472,0.448,0.338,0.234,3.5,6.6,7.8,1.2,0.2,20.8,18.8,83.0,105.0,-0.3,-0.2,-0.6,-0.046
58,1998,Leslie Johnson,-10.6,0.5,0.5,0.0,0.0,0.0,4.1,12.6,0.0,0.0,66.7,17.8,36.0,111.0,-0.1,0.0,-0.1,-0.383
59,1998,Pollyanna Johns Kimbrough,16.3,0.541,0.489,0.0,0.622,9.7,12.7,6.1,0.9,0.9,13.6,17.1,107.0,96.0,0.5,0.2,0.7,0.152
