,Season,Player,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
88,1999,Penny Moore,4,19,0,1,3,0.333,0,0,,1,3,.333,0,0,,1,1,0,0,1,4,1,2
89,1999,Yolanda Moore,23,114,0,10,21,0.476,0,1,0.0,10,20,.500,6,12,.500,4,13,1,4,0,13,21,26
90,1999,Andrea Nagy,32,947,32,54,132,0.409,9,33,0.273,45,99,.455,45,59,.763,11,78,146,31,3,83,111,162
91,1999,Astou Ndiaye-Diatta,31,438,1,70,160,0.438,0,1,0.0,70,159,.440,24,39,.615,25,99,17,11,18,32,51,164
92,1999,Eva Nemcova,31,925,28,124,296,0.419,34,93,0.366,90,203,.443,62,63,.984,27,114,50,31,22,81,50,344
93,1999,Claudia Neves,30,306,0,25,95,0.263,14,60,0.233,11,35,.314,12,19,.632,8,23,29,16,0,23,32,76
94,1999,Mila Nikolich,7,29,0,4,11,0.364,1,4,0.25,3,7,.429,1,2,.500,3,5,1,0,0,3,3,10
95,1999,Vanessa Nygaard,4,20,0,1,2,0.5,1,2,0.5,0,0,,0,0,,1,3,2,2,0,2,4,3
96,1999,Heather Owen,17,235,0,10,25,0.4,0,0,,10,25,.400,16,23,.696,11,38,7,2,4,15,42,36
97,1999,Murriel Page,32,916,26,105,183,0.574,0,0,,105,183,.574,71,104,.683,68,213,28,24,30,49,103,281
98,1999,Ticha Penicheiro,32,1120,32,71,222,0.32,6,38,0.158,65,184,.353,87,131,.664,29,155,226,67,5,135,87,235
99,1999,Bridget Pettis,32,541,8,65,214,0.304,22,98,0.224,43,116,.371,29,47,.617,29,59,45,26,2,30,57,181
100,1999,Tari Phillips,32,335,0,52,128,0.406,0,3,0.0,52,125,.416,26,54,.481,26,66,9,19,8,48,54,130
101,1999,Angie Potthoff,32,710,25,53,140,0.379,3,18,0.167,50,122,.410,18,33,.545,26,85,37,24,5,35,84,127
102,1999,Elaine Powell,18,256,0,17,33,0.515,1,9,0.111,16,24,.667,12,22,.545,9,23,32,9,4,19,22,47
103,1999,Brandy Reed,25,757,24,168,366,0.459,13,38,0.342,155,328,.473,53,70,.757,55,151,64,29,17,63,57,402
104,1999,Tracy Reid,10,154,3,21,49,0.429,0,1,0.0,21,48,.438,6,14,.429,7,23,9,1,2,17,12,48
105,1999,Jennifer Rizzotti,25,242,0,14,40,0.35,7,26,0.269,7,14,.500,7,12,.583,2,27,19,18,1,16,21,42
106,1999,Crystal Robinson,32,901,9,125,285,0.439,76,174,0.437,49,111,.441,49,58,.845,38,89,49,44,11,46,78,375
107,1999,Nykesha Sales,32,1039,32,153,397,0.385,36,109,0.33,117,288,.406,95,118,.805,44,135,91,69,8,69,97,437
108,1999,Sheri Sam,32,1088,32,134,345,0.388,41,125,0.328,93,220,.423,55,80,.688,39,146,77,41,9,64,112,364
109,1999,Alessandra Santos de Oliveira,13,216,6,22,39,0.564,0,0,,22,39,.564,7,22,.318,19,42,1,1,2,16,25,51
110,1999,Christy Smith,4,19,0,3,4,0.75,2,3,0.667,1,1,1.000,5,6,.833,0,1,1,1,0,1,3,13
111,1999,Charlotte Smith,32,746,24,62,188,0.33,8,56,0.143,54,132,.409,41,58,.707,46,115,58,10,7,50,87,173
112,1999,Charmin Smith,13,56,0,1,9,0.111,0,4,0.0,1,5,.200,8,10,.800,2,9,2,1,0,5,10,10
113,1999,Katie Smith,30,971,29,113,292,0.387,52,136,0.382,61,156,.391,72,94,.766,42,88,60,19,10,55,106,350
114,1999,Tangela Smith,31,632,3,104,235,0.443,1,2,0.5,103,233,.442,47,72,.653,46,119,17,26,38,38,72,256
115,1999,Rachael Sporn,18,340,10,44,94,0.468,0,1,0.0,44,93,.473,18,28,.643,26,59,27,15,4,16,45,106
116,1999,Dawn Staley,32,1065,32,125,301,0.415,33,104,0.317,92,197,.467,85,91,.934,12,72,177,38,3,90,71,368
117,1999,Kate Starbird,24,215,1,12,55,0.218,2,15,0.133,10,40,.250,22,27,.815,9,23,14,13,4,17,23,48
118,1999,Maria Stepanova,32,554,2,96,198,0.485,1,2,0.5,95,196,.485,55,88,.625,62,164,24,13,62,43,86,248
119,1999,Valerie Still,23,282,6,12,49,0.245,0,3,0.0,12,46,.261,7,19,.368,16,43,6,4,4,20,38,31
120,1999,Andrea Stinson,32,1041,32,174,378,0.46,21,68,0.309,153,310,.494,65,88,.739,32,113,93,32,18,67,56,434
121,1999,Tora Suber,25,114,0,7,24,0.292,1,9,0.111,6,15,.400,5,10,.500,4,13,9,5,0,10,14,20
122,1999,Sheryl Swoopes,32,1100,32,226,489,0.462,33,98,0.337,193,391,.494,100,122,.820,48,202,127,76,46,83,57,585
123,1999,Sonja Tate,32,828,18,52,147,0.354,16,67,0.239,36,80,.450,23,30,.767,48,127,100,36,3,65,84,143
124,1999,Tina Thompson,32,1074,32,142,339,0.419,39,111,0.351,103,228,.452,68,87,.782,67,206,28,31,31,72,95,391
125,1999,Michele Timms,30,804,29,68,192,0.354,31,89,0.348,37,103,.359,38,49,.776,17,79,151,43,7,89,87,205
126,1999,Penny Toler,30,427,4,51,150,0.34,2,13,0.154,49,137,.358,39,45,.867,12,43,66,13,0,40,36,143
127,1999,Elena Tornikidou,11,86,0,9,23,0.391,0,0,,9,23,.391,2,6,.333,3,9,8,1,1,11,8,20
128,1999,Chantel Tremitiere,20,191,0,9,29,0.31,2,8,0.25,7,21,.333,1,1,1.000,3,19,22,6,0,13,28,21
129,1999,Polina Tzekova,32,778,32,76,177,0.429,11,44,0.25,65,133,.489,31,40,.775,54,163,32,13,19,52,118,194
130,1999,Amaya Valdemoro,17,92,0,13,35,0.371,2,5,0.4,11,30,.367,12,16,.750,4,13,9,11,0,12,16,40
131,1999,Michele Van Gorp,21,117,0,8,24,0.333,0,0,,8,24,.333,4,5,.800,5,17,7,1,3,3,23,20
